time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,District
2009-01-15 03:00:00,24.5,14.9,55.0,,,30.0,11.2,,1018.8,,,Huyện Bình Chánh
2009-01-15 06:00:00,28.8,16.4,47.0,,,110.0,9.4,,1015.6,,,Huyện Bình Chánh
2009-01-15 09:00:00,29.3,15.1,42.0,,,320.0,7.6,,1013.4,,,Huyện Bình Chánh
2009-01-15 12:00:00,24.2,17.0,64.0,,,240.0,9.4,,1014.6,,,Huyện Bình Chánh
2009-01-15 15:00:00,23.4,21.1,87.0,,,160.0,13.0,,1016.5,,,Huyện Bình Chánh
2009-01-15 18:00:00,21.0,20.0,94.0,,,60.0,7.6,,,,,Huyện Bình Chánh
2009-01-15 21:00:00,19.2,17.0,87.0,,,350.0,7.6,,1015.4,,,Huyện Bình Chánh
2009-01-16 00:00:00,19.6,17.0,85.0,,,10.0,7.6,,1016.6,,,Huyện Bình Chánh
2009-01-16 03:00:00,26.3,19.2,65.0,,,340.0,9.4,,1017.6,,,Huyện Bình Chánh
2009-01-16 06:00:00,28.4,18.2,54.0,,,,5.4,,1014.7,,,Huyện Bình Chánh
2009-01-16 09:00:00,29.6,18.7,52.0,,,310.0,9.4,,1012.6,,,Huyện Bình Chánh
2009-01-16 12:00:00,24.3,18.0,68.0,,,250.0,7.6,,1014.7,,,Huyện Bình Chánh
2009-01-16 15:00:00,23.9,19.4,76.0,,,180.0,9.4,,1015.9,,,Huyện Bình Chánh
2009-01-16 18:00:00,22.6,20.7,89.0,,,120.0,11.2,,1014.5,,,Huyện Bình Chánh
2009-01-16 21:00:00,19.4,19.1,98.0,,,350.0,3.6,,1014.1,,,Huyện Bình Chánh
2009-01-17 00:00:00,21.4,21.1,98.0,,,,1.8,,1015.2,,,Huyện Bình Chánh
2009-01-17 03:00:00,25.8,19.4,68.0,,,,3.6,,1016.2,,,Huyện Bình Chánh
2009-01-17 06:00:00,29.4,19.4,55.0,,,,5.4,,1013.0,,,Huyện Bình Chánh
2009-01-17 09:00:00,30.3,18.1,48.0,,,,3.6,,1011.4,,,Huyện Bình Chánh
2009-01-17 12:00:00,26.1,22.2,79.0,,,250.0,16.6,,1013.0,,,Huyện Bình Chánh
2009-01-17 15:00:00,23.0,21.1,89.0,,,150.0,9.4,,1014.5,,,Huyện Bình Chánh
2009-01-17 18:00:00,22.0,19.9,88.0,,,,5.4,,1013.5,,,Huyện Bình Chánh
2009-01-17 21:00:00,20.2,19.0,93.0,,,100.0,3.6,,1012.8,,,Huyện Bình Chánh
2009-01-18 00:00:00,19.0,18.7,98.0,,,40.0,5.4,,1014.2,,,Huyện Bình Chánh
2009-01-18 03:00:00,26.4,21.4,74.0,,,360.0,11.2,,1015.5,,,Huyện Bình Chánh
2009-01-18 06:00:00,30.0,18.1,49.0,,,,5.4,,,,,Huyện Bình Chánh
2009-01-18 09:00:00,31.8,16.5,40.0,,,,5.4,,1010.5,,,Huyện Bình Chánh
2009-01-18 12:00:00,25.3,18.2,65.0,,,160.0,16.6,,1012.2,,,Huyện Bình Chánh
2009-01-18 15:00:00,24.2,19.3,74.0,,,150.0,9.4,,1013.6,,,Huyện Bình Chánh
2009-01-18 18:00:00,22.6,19.4,82.0,,,,5.4,,1013.4,,,Huyện Bình Chánh
2009-01-18 21:00:00,20.2,19.4,95.0,,,90.0,5.4,,1012.0,,,Huyện Bình Chánh
2009-01-19 00:00:00,19.6,19.3,98.0,,,60.0,3.6,,1013.1,,,Huyện Bình Chánh
2009-01-19 03:00:00,27.9,18.0,55.0,,,350.0,7.6,,1013.9,,,Huyện Bình Chánh
2009-01-19 06:00:00,30.6,14.3,37.0,,,340.0,7.6,,1010.0,,,Huyện Bình Chánh
2009-01-19 09:00:00,31.0,15.4,39.0,,,,5.4,,1008.9,,,Huyện Bình Chánh
2009-01-19 12:00:00,25.4,19.3,69.0,,,150.0,13.0,,1011.0,,,Huyện Bình Chánh
2009-01-19 15:00:00,23.4,18.3,73.0,,,120.0,13.0,,1012.3,,,Huyện Bình Chánh
2009-01-19 18:00:00,23.4,18.3,73.0,,,80.0,7.6,,1011.8,,,Huyện Bình Chánh
2009-01-19 21:00:00,19.0,19.0,100.0,,,,3.6,,1011.2,,,Huyện Bình Chánh
2009-01-20 00:00:00,19.6,19.3,98.0,,,,0.0,,1012.3,,,Huyện Bình Chánh
2009-01-20 03:00:00,26.8,19.2,63.0,,,,3.6,,1013.8,,,Huyện Bình Chánh
2009-01-20 06:00:00,32.0,17.5,42.0,,,30.0,7.6,,1010.6,,,Huyện Bình Chánh
2009-01-20 09:00:00,31.0,17.0,43.0,,,,5.4,,1008.4,,,Huyện Bình Chánh
2009-01-20 12:00:00,25.6,21.5,78.0,,,130.0,16.6,,1010.4,,,Huyện Bình Chánh
2009-01-20 15:00:00,23.4,19.1,77.0,,,130.0,11.2,,1012.2,,,Huyện Bình Chánh
2009-01-20 18:00:00,22.4,20.1,87.0,,,110.0,7.6,,1011.6,,,Huyện Bình Chánh
2009-01-20 21:00:00,20.7,19.0,90.0,,,110.0,5.4,,1010.9,,,Huyện Bình Chánh
2009-01-21 00:00:00,20.3,20.1,99.0,,,50.0,5.4,,1013.1,,,Huyện Bình Chánh
2009-01-21 03:00:00,27.3,21.3,70.0,,,,5.4,,1014.5,,,Huyện Bình Chánh
2009-01-21 06:00:00,30.3,18.1,48.0,,,,5.4,,1011.2,,,Huyện Bình Chánh
2009-01-21 09:00:00,31.2,17.9,45.0,,,,1.8,,1009.3,,,Huyện Bình Chánh
2009-01-21 12:00:00,26.2,20.1,69.0,,,180.0,11.2,,1010.8,,,Huyện Bình Chánh
2009-01-21 15:00:00,24.2,20.9,82.0,,,,3.6,,1011.7,,,Huyện Bình Chánh
2009-01-21 18:00:00,23.2,22.0,93.0,,,190.0,9.4,,1010.0,,,Huyện Bình Chánh
2009-01-21 21:00:00,21.2,21.0,99.0,,,270.0,3.6,,1009.7,,,Huyện Bình Chánh
2009-01-22 00:00:00,21.1,20.8,98.0,,,270.0,3.6,,1011.4,,,Huyện Bình Chánh
2009-01-22 03:00:00,28.2,22.2,70.0,,,,5.4,,1012.4,,,Huyện Bình Chánh
2009-01-22 06:00:00,30.8,20.7,55.0,,,320.0,11.2,,1009.8,,,Huyện Bình Chánh
2009-01-22 09:00:00,31.0,21.2,56.0,,,320.0,9.4,,1007.7,,,Huyện Bình Chánh
2009-01-22 12:00:00,27.6,20.9,67.0,,,240.0,7.6,,1008.9,,,Huyện Bình Chánh
2009-01-22 15:00:00,25.4,21.1,77.0,,,140.0,9.4,,1010.4,,,Huyện Bình Chánh
2009-01-22 18:00:00,24.4,21.9,86.0,,,,5.4,,1010.0,,,Huyện Bình Chánh
2009-01-22 21:00:00,23.0,23.0,100.0,,,10.0,5.4,,,,,Huyện Bình Chánh
2009-01-23 00:00:00,23.4,22.6,95.0,,,,1.8,,1011.2,,,Huyện Bình Chánh
2009-01-23 03:00:00,27.8,23.0,75.0,,,,1.8,,1012.5,,,Huyện Bình Chánh
2009-01-23 06:00:00,30.7,22.0,60.0,,,,5.4,,1009.8,,,Huyện Bình Chánh
2009-01-23 09:00:00,29.1,22.3,67.0,,,130.0,11.2,,1008.6,,,Huyện Bình Chánh
2009-01-23 12:00:00,27.2,21.9,73.0,,,60.0,7.6,,1009.9,,,Huyện Bình Chánh
2009-01-23 15:00:00,25.2,21.1,78.0,,,130.0,7.6,,1010.9,,,Huyện Bình Chánh
2009-01-23 18:00:00,24.2,20.9,82.0,,,,5.4,,1010.0,,,Huyện Bình Chánh
2009-01-23 21:00:00,23.4,21.1,87.0,,,80.0,5.4,,1009.2,,,Huyện Bình Chánh
2009-01-24 00:00:00,23.6,22.6,94.0,,,10.0,5.4,,1012.0,,,Huyện Bình Chánh
2009-01-24 03:00:00,27.2,21.9,73.0,,,100.0,7.6,,1012.9,,,Huyện Bình Chánh
2009-01-24 06:00:00,29.5,22.5,66.0,,,230.0,7.6,,1010.5,,,Huyện Bình Chánh
2009-01-24 09:00:00,29.3,23.5,71.0,,,240.0,11.2,,1009.5,,,Huyện Bình Chánh
2009-01-24 12:00:00,26.9,23.2,80.0,,,210.0,13.0,,1010.9,,,Huyện Bình Chánh
2009-01-24 15:00:00,25.9,22.6,82.0,,,80.0,5.4,,1012.4,,,Huyện Bình Chánh
2009-01-24 18:00:00,24.8,21.5,82.0,,,,5.4,,1011.9,,,Huyện Bình Chánh
2009-01-24 21:00:00,23.4,22.0,92.0,,,300.0,3.6,,1010.8,,,Huyện Bình Chánh
2009-01-25 00:00:00,23.4,23.1,98.0,,,300.0,1.8,,1012.4,,,Huyện Bình Chánh
2009-01-25 03:00:00,28.3,22.3,70.0,,,,3.6,,1012.9,,,Huyện Bình Chánh
2009-01-25 06:00:00,30.0,21.9,62.0,,,310.0,7.6,,1010.3,,,Huyện Bình Chánh
2009-01-25 09:00:00,29.2,21.9,65.0,,,230.0,14.8,,1009.4,,,Huyện Bình Chánh
2009-01-25 12:00:00,26.2,22.1,78.0,,,170.0,14.8,,1010.1,,,Huyện Bình Chánh
2009-01-25 15:00:00,24.2,21.1,83.0,,,150.0,9.4,,1012.7,,,Huyện Bình Chánh
2009-01-25 18:00:00,22.7,22.0,96.0,,,,1.8,,1011.2,,,Huyện Bình Chánh
2009-01-25 21:00:00,21.0,20.7,98.0,,,60.0,7.6,,1011.4,,,Huyện Bình Chánh
2009-01-26 00:00:00,20.8,20.5,98.0,,,360.0,3.6,,1013.0,,,Huyện Bình Chánh
2009-01-26 03:00:00,26.4,21.6,75.0,,,,3.6,,1014.4,,,Huyện Bình Chánh
2009-01-26 06:00:00,31.4,21.6,56.0,,,,5.4,,1011.6,,,Huyện Bình Chánh
2009-01-26 09:00:00,30.9,21.1,56.0,,,160.0,13.0,,1009.8,,,Huyện Bình Chánh
2009-01-26 12:00:00,25.6,21.5,78.0,,,150.0,14.8,,1011.6,,,Huyện Bình Chánh
2009-01-26 15:00:00,24.4,21.1,82.0,,,130.0,9.4,,1011.8,,,Huyện Bình Chánh
2009-01-26 18:00:00,22.0,21.0,94.0,,,100.0,5.4,,,,,Huyện Bình Chánh
2009-01-26 21:00:00,20.2,20.0,99.0,,,340.0,1.8,,1011.0,,,Huyện Bình Chánh
2009-01-27 00:00:00,19.6,18.8,95.0,,,360.0,3.6,,1013.4,,,Huyện Bình Chánh
2009-01-27 03:00:00,27.9,18.9,58.0,,,10.0,7.6,,1013.8,,,Huyện Bình Chánh
2009-01-27 06:00:00,30.0,18.1,49.0,,,,3.6,,,,,Huyện Bình Chánh
2009-01-27 09:00:00,32.0,17.1,41.0,,,220.0,7.6,,1008.9,,,Huyện Bình Chánh
2009-01-27 12:00:00,25.5,19.9,71.0,,,140.0,13.0,,1010.7,,,Huyện Bình Chánh
2009-01-27 15:00:00,23.3,20.1,82.0,,,110.0,9.4,,1011.1,,,Huyện Bình Chánh
2009-01-27 18:00:00,22.5,13.3,56.0,,,,5.4,,1010.6,,,Huyện Bình Chánh
2009-01-27 21:00:00,20.2,20.0,99.0,,,40.0,5.4,,1010.2,,,Huyện Bình Chánh
2009-01-28 00:00:00,20.7,19.0,90.0,,,10.0,3.6,,1012.5,,,Huyện Bình Chánh
2009-01-28 03:00:00,26.4,20.3,69.0,,,,3.6,,1013.2,,,Huyện Bình Chánh
2009-01-28 06:00:00,30.4,19.4,52.0,,,330.0,7.6,,1010.2,,,Huyện Bình Chánh
2009-01-28 09:00:00,32.6,19.1,45.0,,,250.0,9.4,,1008.2,,,Huyện Bình Chánh
2009-01-28 12:00:00,26.6,19.5,65.0,,,140.0,14.8,,1010.6,,,Huyện Bình Chánh
2009-01-28 15:00:00,24.4,19.7,75.0,,,120.0,11.2,,1010.5,,,Huyện Bình Chánh
2009-01-28 18:00:00,20.6,19.4,93.0,,,,3.6,,1010.2,,,Huyện Bình Chánh
2009-01-28 21:00:00,20.0,19.0,94.0,,,340.0,1.8,,1010.0,,,Huyện Bình Chánh
2009-01-29 00:00:00,,,,,,,5.4,,1012.4,,,Huyện Bình Chánh
2009-01-29 03:00:00,26.8,19.9,66.0,,,360.0,7.6,,1012.6,,,Huyện Bình Chánh
2009-01-29 06:00:00,31.4,18.0,45.0,,,350.0,7.6,,1010.0,,,Huyện Bình Chánh
2009-01-29 09:00:00,31.0,20.0,52.0,,,220.0,7.6,,,,,Huyện Bình Chánh
2009-01-29 12:00:00,25.0,20.0,74.0,,,140.0,13.0,,,,,Huyện Bình Chánh
2009-01-29 15:00:00,24.0,19.1,74.0,,,140.0,16.6,,1011.8,,,Huyện Bình Chánh
2009-01-29 18:00:00,21.6,19.0,85.0,,,110.0,5.4,,1010.6,,,Huyện Bình Chánh
2009-01-29 21:00:00,20.6,20.4,99.0,,,60.0,1.8,,1009.8,,,Huyện Bình Chánh
2009-01-30 00:00:00,20.6,20.4,99.0,,,310.0,5.4,,1011.6,,,Huyện Bình Chánh
2009-01-30 03:00:00,26.0,17.9,61.0,,,340.0,7.6,,,,,Huyện Bình Chánh
2009-01-30 06:00:00,30.4,18.5,49.0,,,,5.4,,1009.4,,,Huyện Bình Chánh
2009-01-30 09:00:00,31.4,17.3,43.0,,,,5.4,,1008.5,,,Huyện Bình Chánh
2009-01-30 12:00:00,26.6,18.5,61.0,,,160.0,14.8,,1010.8,,,Huyện Bình Chánh
2009-01-30 15:00:00,24.0,20.9,83.0,,,150.0,7.6,,,,,Huyện Bình Chánh
2009-01-30 18:00:00,22.6,21.4,93.0,,,,0.0,,1010.5,,,Huyện Bình Chánh
2009-01-30 21:00:00,21.0,20.8,99.0,,,240.0,1.8,,1009.8,,,Huyện Bình Chánh
2009-01-31 00:00:00,21.4,21.2,99.0,,,340.0,5.4,,1012.3,,,Huyện Bình Chánh
2009-01-31 03:00:00,26.0,21.0,74.0,,,,5.4,,,,,Huyện Bình Chánh
2009-01-31 06:00:00,31.6,18.6,46.0,,,360.0,7.6,,1009.2,,,Huyện Bình Chánh
2009-01-31 09:00:00,31.0,18.0,46.0,,,,3.6,,,,,Huyện Bình Chánh
2009-01-31 12:00:00,25.2,21.1,78.0,,,150.0,18.4,,1011.1,,,Huyện Bình Chánh
2009-01-31 15:00:00,24.0,19.1,74.0,,,110.0,9.4,,,,,Huyện Bình Chánh
2009-01-31 18:00:00,23.0,19.0,78.0,,,120.0,9.4,,,,,Huyện Bình Chánh
2009-01-31 21:00:00,22.0,19.0,83.0,,,140.0,5.4,,,,,Huyện Bình Chánh
2009-02-01 00:00:00,20.3,19.0,92.0,,,30.0,3.6,,1013.0,,,Huyện Bình Chánh
2009-02-01 03:00:00,26.0,18.9,65.0,,,360.0,11.2,,,,,Huyện Bình Chánh
2009-02-01 06:00:00,31.6,17.1,42.0,,,330.0,9.4,,1011.6,,,Huyện Bình Chánh
2009-02-01 09:00:00,32.0,12.8,31.0,,,,3.6,,,,,Huyện Bình Chánh
2009-02-01 12:00:00,26.3,19.2,65.0,,,160.0,13.0,,1012.3,,,Huyện Bình Chánh
2009-02-01 15:00:00,24.0,19.1,74.0,,,,5.4,,,,,Huyện Bình Chánh
2009-02-01 18:00:00,22.4,19.2,82.0,,,40.0,1.8,,1012.5,,,Huyện Bình Chánh
2009-02-01 21:00:00,22.0,19.0,83.0,,,100.0,7.6,,,,,Huyện Bình Chánh
2009-02-02 00:00:00,20.6,20.3,98.0,,,40.0,3.6,,1013.5,,,Huyện Bình Chánh
2009-02-02 03:00:00,27.0,18.0,58.0,,,360.0,9.4,,,,,Huyện Bình Chánh
2009-02-02 06:00:00,30.8,18.5,48.0,,,,5.4,,1010.6,,,Huyện Bình Chánh
